name;artist;duration;url;original_url;image;game;amountOfDancers;difficulty;sinceVersion
Candy;Robbie Williams;3:20;https://www.youtube.com/watch?v=WMEidcNxFss;null;candy;2014;2;2;11
Canned Heat;Jamiroquai;3:56;https://youtu.be/ArKbS9ksPGQ;null;canned_heat;2023;1;2;12
Can’t Feel My Face;The Weekend;3:18;https://youtu.be/ncNEqoZqQ9w?t=15;https://youtu.be/B9mlsJvS9Ik?t=15;cant_feel_my_face;2017;1;2;10
Can’t Stop the Feeling! (Danceverses Prince Version);Justin Timberlake;3:50;https://youtu.be/HqWZkXF1boA?t=20;https://youtu.be/IdcsX0PHgdA?t=20;cant_stop_the_feeling_alternate;2023;1;3;11
Can’t Tame Her;Zara Larsson;3:29;https://youtu.be/4SS7G89LGT8?t=26;null;cant_tame_her;2024;1;3;11
Cercavo Amore;Emma;3:30;https://youtu.be/R3qobw1B9TE?t=19;https://youtu.be/783Z_ly1frg?t=19;cercavo_amore;4;1;2;10
Chacarron;El Chombo;2:46;https://youtu.be/S7RfvklmcoU;null;chacarron;2022;1;1;12
Chained to the Rhythm;Katy Perry;3:57;https://youtu.be/3wsO5ykRJsM;null;chained_to_the_rhythm;fanmade;1;1;12
Chandelier;Sia;3:27;https://youtu.be/xq1EJvswgwsv=Ji5JvJAnbHk&?t=19s;https://www.youtube.com/watch?v=Ji5JvJAnbHk&t=19s;chandelier;2022;1;2;0
Chandelier (Contemporary Dance Version);Sia;3:28;https://youtu.be/H7XvIq9srTEv=o4BVD3UyCcs&?t=13s;https://www.youtube.com/watch?v=o4BVD3UyCcs&t=13s;chandelier_contemporary_dance_version;2022;1;2;11
Chantaje;Shakira ft. Maluma;3:09;https://youtu.be/g_zMqSEcGM4?t=1;https://youtu.be/rddettN2RMU?t=1;chantaje;2018;2;2;11
Chantaje (Subway Version);Shakira ft. Maluma;3:18;https://youtu.be/z8oUqVfNQ1s;null;chantaje_subway_version;2018;3;2;12
Cheap Thrills;Sia ft. Sean Paul;3:33;https://youtu.be/OoCJGzkeWBw?t=12;https://youtu.be/no4rACZQ3KM?t=12;cheap_thrills;2017;1;2;1
China;Anuel AA, Daddy Yankee, Karol G, Ozuna, & J Balvin;4:54;https://youtu.be/HDojlNzD5-U?t=17;https://youtu.be/Vcaz1BRcXEE?t=17;china;2022;3;2;10
Chiwawa;Wanko Ni Mero Mero;2:40;https://youtu.be/umQPtrgDTDo?t=21;https://youtu.be/c7pzM5BpToE?t=21;chiwawa;2017;1;1;8
Chiwawa (Barbie Version);Wanko Ni Mero Mero;2:46;https://youtu.be/SbqaoT_4PAQ?t=21;https://youtu.be/I4sSPJ96Kd8?t=21;chiwawa_barbie_version;2016;1;2;10
Circus;Britney Spears;3:35;https://youtu.be/ulO-URh5FZU;null;circus;2016;4;2;12
Circus (Extreme);Britney Spears;3:10;https://youtu.be/xRljbgl6aS0;null;circus_extreme;2016;1;4;12
Come Back Home;2NE1;3:52;https://youtu.be/oEQL5_4Qq0E;null;come_back_home;2021;3;3;12
Con Altura;Rosalia & J Balvin;2:42;https://youtu.be/Xs6P2Q3Ofe0;null;con_altura;2020;1;2;12
Con Calma;Daddy Yankee ft. Snow;3:15;https://youtu.be/tJkVRHwcxzE?t=11;https://youtu.be/_tVGpVMulVE?t=11;con_calma;2020;2;2;10
Cool for the Summer;Demi Lovato;3:34;https://youtu.be/RanKjEpEhsQ;null;cool_for_the_summer;2016;1;1;12
Cosmic Girl;Jamiroquai;3:13;https://youtu.be/jn77MNP7C1Ev=Kl6PfJbuOO8;https://www.youtube.com/watch?v=Kl6PfJbuOO8;cosmic_girl;2;1;1;10
Cosmic Party ;Equinox Stars;2:13;https://youtu.be/_9e009x2OtE;null;cosmic_party;2019;1;2;12
Cotton Eye Joe;Rednex;3:16;https://youtu.be/kVb9RHYFPGs;null;cotton_eye_joe;1;1;2;12
Counting Stars;OneRepublic;3:30;https://youtu.be/9iUioO3tM6I;null;counting_stars;dcs;1;4;12
Cradles;Suburban;3:30;https://youtu.be/VVSmVv9OgjQ;null;cradles;2024;1;3;12
Crayon;G-Dragon;3:17;https://youtu.be/oveo5kiRZ9I;null;crayon;2020;1;2;12
Crazy Little Thing;Anja;3:42;https://youtu.be/oIjvpasfVss;null;crazy_little_thing;4;1;3;12
Criminal;Natti Natasha & Ozuna;3:15;https://youtu.be/SA6ixluCLyg?t=20;https://youtu.be/Hz2BbH6vIkM?t=20;criminal;2019;2;1;10
Crucified;Army of Lovers;3:26;https://youtu.be/IbRDYAksO-g?t=12;https://youtu.be/-pr3rRuk7pA?t=12;crucified;4;4;2;9
Crying Blood;V V Brown;2:27;https://youtu.be/rgmMRlghmvI?t=18;https://youtu.be/3l1VVZUlg18?t=18;crying_blood;2;1;1;9
Cupid Shuffle;Bryson Bernard;3:02;https://youtu.be/28l7qdlndFQ;null;cupid_shuffle;dc3;1;2;12
Cure For Me (Alternate);AURORA;3:29;https://youtu.be/vrcjXbPE5TU?t=26;null;cure_for_me_alternate;2024;1;2;11
D.A.N.C.E.;Justice;3:52;https://youtu.be/9ZuB2FmoEIw?t=12;https://youtu.be/ElY2W59fXQI?t=12;dance;2;1;1;9
DJ Got Us Fallin’ In Love;Usher;3:28;https://youtu.be/ld6-JJSjSH4?t=12;https://youtu.be/b9p-45X1T3g?t=12;dj_got_us_falling_in_love_again;2023;2;2;11
DNA;BTS;3:45;https://youtu.be/zxu_d0CbWEE;null;dna;fanmade;4;4;12
Daddy;PSY;3:40;https://youtu.be/AhYAqcFBPbU?t=15;https://youtu.be/y9WUm3QvHK0?t=15;daddy;2017;3;2;0
Daddy Cool;Boney M.;1:42;https://youtu.be/4Fn6D2Z5Kiw?t=1;https://youtu.be/CIGTLqZV8F4?t=1;daddy_cool;3;1;1;11
Dagomba; Sorcerer;3:41;https://youtu.be/QzxkVq_xAgQ;null;dagomba;2;1;2;12
Daisy;Ashnikko;2:45;https://youtu.be/WNmqQ7YvXcw;null;daisy;2022;1;1;12
Dame Tu Cosita;El Chombo ft. Cutty Ranks;2:18;https://youtu.be/W8IKV2Nigqs?t=10;https://youtu.be/MNNWa0luLTM?t=10;dame_tu_cosita;2019;1;1;11
Dance All Nite;Aneea;3:35;https://www.youtube.com/watch?v=3PDWSiB5uzM;null;dance_all_nite;3;1;3;11
Dance Monkey;Tones And I;3:27;https://youtu.be/Aa7V-zjlLtEv=bI7QZHzva-E&?t=11s;https://www.youtube.com/watch?v=bI7QZHzva-E&t=11s;dance_monkey;2021;1;2;0
Dance My Generation;Golden Bomber;3:51;https://youtu.be/jnSgXy5h4m8?t=2;https://youtu.be/o51oRYGtPbo?t=2;dance_my_generation;wiiu;1;1;10
Dancin (Krono Remix);Aaron Smith;3:12;https://youtu.be/6cHq-8PPorw?t=7;https://youtu.be/dnsHsSjyuzI?t=7;dancin;fanmade;1;1;10
Dancing Diva;jolin Tsai;3:07;https://youtu.be/htQRWz9cQ18;null;dancing_diva;china_or_something_idk;1;2;12
Dancing Queen (Prom Version);ABBA;3:33;https://youtu.be/DWR0TbciuzQ;null;dancing_queen_prom_version;other;1;1;12
Dancing Queen (solo);ABBA;3:41;https://youtu.be/i2OjhDFnc98?t=17;https://youtu.be/OQD75k0fHog?t=17;dancing_queen_solo;abbaycd;1;2;10
Dancing Queen (trio);ABBA;3:22;https://youtu.be/ukIPNPufc58?t=25;https://youtu.be/FS_alHzjCaU?t=25;dancing_queen_trio;2018;3;2;10
Danger! High Voltage;Electric Six;3:36;https://youtu.be/UGurpbmK_U8?t=8;https://youtu.be/JGfYow_P-Ko?t=8;danger_high_voltage;2023;2;2;11
Danger! High Voltage (8-bit);Electric Six;3:36;https://youtu.be/tEIvsbkr-J8;null;danger_high_voltage_alt;2023;1;2;12
Dançando;Ivete Sangalo;3:23;https://youtu.be/DnIbIXZwAYcv=ANG7_YnTp0g;https://www.youtube.com/watch?v=ANG7_YnTp0g;dancando;2014;1;2;10
Dare;Gorillaz;3:40;https://youtu.be/xT6TRdlpoGg?t=9;https://youtu.be/D-B2HauEFCA?t=9;dare;1;1;1;10
Dark Horse;Katy Perry;3:07;https://www.youtube.com/watch?v=nw02oh0e07E;null;dark_horse;2015;3;2;11
Ddu-Du Ddu-Du;BLACKPINK;3:22;https://youtu.be/lNprl9mWXik?t=8;https://youtu.be/_1Gd5nXtcKQ?t=8;ddu-du_ddu-du;2019;4;3;10
Despacito;Luis Fonsi;3:49;https://youtu.be/VMkTzeC0LzY;null;despacito;2018;1;4;12
